"date","country","value"
2018-04-26,"KR",280
2018-04-27,"KR",280
2018-04-28,"KR",280
2018-04-29,"KR",308
2018-04-30,"KR",336
2018-05-01,"KR",306
2018-05-02,"KR",276
2018-05-03,"KR",276
2018-05-04,"KR",306
2018-05-05,"KR",351
2018-05-06,"KR",393
2018-05-07,"KR",445
2018-05-08,"KR",470
2018-05-09,"KR",451
2018-05-10,"KR",432
2018-05-11,"KR",432
2018-05-12,"KR",413
2018-05-13,"KR",427
2018-05-14,"KR",434
2018-05-15,"KR",432
2018-05-16,"KR",456
2018-05-17,"KR",456
2018-05-18,"KR",428
2018-05-19,"KR",378
2018-05-20,"KR",324
2018-05-21,"KR",277
2018-05-22,"KR",228
2018-05-23,"KR",225
2018-05-24,"KR",256
2018-05-25,"KR",290
2018-05-26,"KR",324
2018-05-27,"KR",347
2018-05-28,"KR",370
2018-05-29,"KR",336
2018-05-30,"KR",302
2018-05-31,"KR",302
2018-06-01,"KR",330
2018-06-02,"KR",358
2018-06-03,"KR",339
2018-06-04,"KR",351
2018-06-05,"KR",358
2018-06-06,"KR",334
2018-06-07,"KR",313
2018-06-08,"KR",261
2018-06-09,"KR",215
2018-06-10,"KR",221
2018-06-11,"KR",242
2018-06-12,"KR",258
2018-06-13,"KR",274
2018-06-14,"KR",252
2018-06-15,"KR",210
2018-06-16,"KR",190
2018-06-17,"KR",166
2018-06-18,"KR",173
2018-06-19,"KR",204
2018-06-20,"KR",188
2018-06-21,"KR",195
2018-06-22,"KR",193
2018-06-23,"KR",168
2018-06-24,"KR",200
2018-06-25,"KR",266
2018-06-26,"KR",300
2018-06-27,"KR",334
2018-06-28,"KR",368
2018-06-29,"KR",333
2018-06-30,"KR",298
2018-07-01,"KR",323
2018-07-02,"KR",377
2018-07-03,"KR",376
2018-07-04,"KR",369
2018-07-05,"KR",407
2018-07-06,"KR",407
2018-07-07,"KR",392
2018-07-08,"KR",418
2018-07-09,"KR",444
2018-07-10,"KR",417
2018-07-11,"KR",390
2018-07-12,"KR",361
2018-07-13,"KR",313
2018-07-14,"KR",317
2018-07-15,"KR",314
2018-07-16,"KR",288
2018-07-17,"KR",318
2018-07-18,"KR",348
2018-07-19,"KR",348
2018-07-20,"KR",369
2018-07-21,"KR",390
2018-07-22,"KR",390
2018-07-23,"KR",413
2018-07-24,"KR",405
2018-07-25,"KR",401
2018-07-26,"KR",401
2018-07-27,"KR",347
2018-07-28,"KR",342
2018-07-29,"KR",379
2018-07-30,"KR",394
2018-07-31,"KR",394
2018-08-01,"KR",429
2018-08-02,"KR",437
2018-08-03,"KR",435
2018-08-04,"KR",460
2018-08-05,"KR",460
2018-08-06,"KR",493
2018-08-07,"KR",496
2018-08-08,"KR",466
2018-08-09,"KR",441
2018-08-10,"KR",438
2018-08-11,"KR",441
2018-08-12,"KR",402
2018-08-13,"KR",405
2018-08-14,"KR",400
2018-08-15,"KR",372
2018-08-16,"KR",396
2018-08-17,"KR",420
2018-08-18,"KR",392
2018-08-19,"KR",339
2018-08-20,"KR",314
2018-08-21,"KR",295
2018-08-22,"KR",294
2018-08-23,"KR",334
2018-08-24,"KR",387
2018-08-25,"KR",401
2018-08-26,"KR",384
2018-08-27,"KR",360
2018-08-28,"KR",361
2018-08-29,"KR",386
2018-08-30,"KR",386
2018-08-31,"KR",356
2018-09-01,"KR",359
2018-09-02,"KR",420
2018-09-03,"KR",448
2018-09-04,"KR",416
2018-09-05,"KR",363
2018-09-06,"KR",318
2018-09-07,"KR",294
2018-09-08,"KR",274
2018-09-09,"KR",235
2018-09-10,"KR",239
2018-09-11,"KR",235
2018-09-12,"KR",208
2018-09-13,"KR",235
2018-09-14,"KR",235
2018-09-15,"KR",190
2018-09-16,"KR",193
2018-09-17,"KR",189
2018-09-18,"KR",180
2018-09-19,"KR",179
2018-09-20,"KR",162
2018-09-21,"KR",147
2018-09-22,"KR",132
2018-09-23,"KR",111
2018-09-24,"KR",90
2018-09-25,"KR",108
2018-09-26,"KR",141
2018-09-27,"KR",156
2018-09-28,"KR",156
2018-09-29,"KR",156
2018-09-30,"KR",187
2018-10-01,"KR",218
2018-10-02,"KR",253
2018-10-03,"KR",303
2018-10-04,"KR",300
2018-10-05,"KR",282
2018-10-06,"KR",282
2018-10-07,"KR",282
2018-10-08,"KR",307
2018-10-09,"KR",332
2018-10-10,"KR",359
2018-10-11,"KR",412
2018-10-12,"KR",467
2018-10-13,"KR",521
2018-10-14,"KR",513
2018-10-15,"KR",513
2018-10-16,"KR",524
2018-10-17,"KR",518
2018-10-18,"KR",565
2018-10-19,"KR",581
2018-10-20,"KR",549
2018-10-21,"KR",517
2018-10-22,"KR",526
2018-10-23,"KR",525
2018-10-24,"KR",467
2018-10-25,"KR",467
2018-10-26,"KR",470
2018-10-27,"KR",440
2018-10-28,"KR",469
2018-10-29,"KR",498
2018-10-30,"KR",498
2018-10-31,"KR",533
2018-11-01,"KR",568
2018-11-02,"KR",589
2018-11-03,"KR",627
2018-11-04,"KR",644
2018-11-05,"KR",644
2018-11-06,"KR",678
2018-11-07,"KR",735
2018-11-08,"KR",758
2018-11-09,"KR",791
2018-11-10,"KR",824
2018-11-11,"KR",824
2018-11-12,"KR",824
2018-11-13,"KR",796
2018-11-14,"KR",799
2018-11-15,"KR",799
2018-11-16,"KR",744
2018-11-17,"KR",720
2018-11-18,"KR",720
2018-11-19,"KR",720
2018-11-20,"KR",720
2018-11-21,"KR",720
2018-11-22,"KR",700
2018-11-23,"KR",703
2018-11-24,"KR",726
2018-11-25,"KR",726
2018-11-26,"KR",726
2018-11-27,"KR",694
2018-11-28,"KR",636
2018-11-29,"KR",588
2018-11-30,"KR",583
2018-12-01,"KR",600
2018-12-02,"KR",582
2018-12-03,"KR",564
2018-12-04,"KR",564
2018-12-05,"KR",542
2018-12-06,"KR",550
2018-12-07,"KR",613
2018-12-08,"KR",672
2018-12-09,"KR",698
2018-12-10,"KR",683
2018-12-11,"KR",653
2018-12-12,"KR",620
2018-12-13,"KR",602
2018-12-14,"KR",631
2018-12-15,"KR",684
2018-12-16,"KR",675
2018-12-17,"KR",642
2018-12-18,"KR",675
2018-12-19,"KR",742
2018-12-20,"KR",811
2018-12-21,"KR",846
2018-12-22,"KR",881
2018-12-23,"KR",916
2018-12-24,"KR",916
2018-12-25,"KR",899
2018-12-26,"KR",882
2018-12-27,"KR",912
2018-12-28,"KR",966
2018-12-29,"KR",990
2018-12-30,"KR",990
2018-12-31,"KR",971
2019-01-01,"KR",952
2019-01-02,"KR",952
2019-01-03,"KR",952
2019-01-04,"KR",952
2019-01-05,"KR",967
2019-01-06,"KR",1014
2019-01-07,"KR",1046
2019-01-08,"KR",1046
2019-01-09,"KR",1031
2019-01-10,"KR",1049
2019-01-11,"KR",1057
2019-01-12,"KR",1055
2019-01-13,"KR",1048
2019-01-14,"KR",1040
2019-01-15,"KR",1044
2019-01-16,"KR",1042
2019-01-17,"KR",1058
2019-01-18,"KR",1058
2019-01-19,"KR",1085
2019-01-20,"KR",1084
2019-01-21,"KR",1091
2019-01-22,"KR",1095
2019-01-23,"KR",1042
2019-01-24,"KR",997
2019-01-25,"KR",991
2019-01-26,"KR",1043
2019-01-27,"KR",1110
2019-01-28,"KR",1123
2019-01-29,"KR",1075
2019-01-30,"KR",1017
2019-01-31,"KR",1010
2019-02-01,"KR",1048
2019-02-02,"KR",1064
2019-02-03,"KR",1030
2019-02-04,"KR",963
2019-02-05,"KR",900
2019-02-06,"KR",854
2019-02-07,"KR",814
2019-02-08,"KR",790
2019-02-09,"KR",790
2019-02-10,"KR",810
2019-02-11,"KR",804
2019-02-12,"KR",812
2019-02-13,"KR",869
2019-02-14,"KR",892
2019-02-15,"KR",867
2019-02-16,"KR",842
2019-02-17,"KR",842
2019-02-18,"KR",842
2019-02-19,"KR",842
2019-02-20,"KR",825
2019-02-21,"KR",826
2019-02-22,"KR",844
2019-02-23,"KR",823
2019-02-24,"KR",824
2019-02-25,"KR",864
2019-02-26,"KR",898
2019-02-27,"KR",889
2019-02-28,"KR",880
2019-03-01,"KR",896
2019-03-02,"KR",896
2019-03-03,"KR",880
2019-03-04,"KR",847
2019-03-05,"KR",805
2019-03-06,"KR",753
2019-03-07,"KR",747
2019-03-08,"KR",738
2019-03-09,"KR",738
2019-03-10,"KR",768
2019-03-11,"KR",768
2019-03-12,"KR",796
2019-03-13,"KR",807
2019-03-14,"KR",815
2019-03-15,"KR",865
2019-03-16,"KR",913
2019-03-17,"KR",908
2019-03-18,"KR",864
2019-03-19,"KR",848
2019-03-20,"KR",819
2019-03-21,"KR",756
2019-03-22,"KR",722
2019-03-23,"KR",754
2019-03-24,"KR",786
2019-03-25,"KR",786
2019-03-26,"KR",807
2019-03-27,"KR",828
2019-03-28,"KR",828
2019-03-29,"KR",802
2019-03-30,"KR",760
2019-03-31,"KR",744
2019-04-01,"KR",728
2019-04-02,"KR",712
2019-04-03,"KR",712
2019-04-04,"KR",712
2019-04-05,"KR",696
2019-04-06,"KR",680
2019-04-07,"KR",665
2019-04-08,"KR",682
2019-04-09,"KR",714
2019-04-10,"KR",681
2019-04-11,"KR",679
2019-04-12,"KR",683
2019-04-13,"KR",656
2019-04-14,"KR",656
2019-04-15,"KR",656
2019-04-16,"KR",680
2019-04-17,"KR",680
2019-04-18,"KR",656
2019-04-19,"KR",656
2019-04-20,"KR",677
2019-04-21,"KR",671
2019-04-22,"KR",669
2019-04-23,"KR",694
2019-04-24,"KR",718
2019-04-25,"KR",773
2019-04-26,"KR",826
2019-04-27,"KR",816
2019-04-28,"KR",813
2019-04-29,"KR",863
2019-04-30,"KR",908
2019-05-01,"KR",910
2019-05-02,"KR",888
2019-05-03,"KR",860
2019-05-04,"KR",832
2019-05-05,"KR",852
2019-05-06,"KR",841
2019-05-07,"KR",840
2019-05-08,"KR",870
2019-05-09,"KR",870
2019-05-10,"KR",870
2019-05-11,"KR",886
2019-05-12,"KR",922
2019-05-13,"KR",924
2019-05-14,"KR",906
2019-05-15,"KR",906
2019-05-16,"KR",940
2019-05-17,"KR",989
2019-05-18,"KR",1004
2019-05-19,"KR",977
2019-05-20,"KR",965
2019-05-21,"KR",980
2019-05-22,"KR",951
2019-05-23,"KR",893
2019-05-24,"KR",898
2019-05-25,"KR",932
2019-05-26,"KR",965
2019-05-27,"KR",971
2019-05-28,"KR",959
2019-05-29,"KR",995
2019-05-30,"KR",993
2019-05-31,"KR",939
2019-06-01,"KR",886
2019-06-02,"KR",864
2019-06-03,"KR",896
2019-06-04,"KR",945
2019-06-05,"KR",986
2019-06-06,"KR",1010
2019-06-07,"KR",1032
2019-06-08,"KR",1037
2019-06-09,"KR",1038
2019-06-10,"KR",1056
2019-06-11,"KR",1056
2019-06-12,"KR",1089
2019-06-13,"KR",1147
2019-06-14,"KR",1172
2019-06-15,"KR",1138
2019-06-16,"KR",1104
2019-06-17,"KR",1130
2019-06-18,"KR",1139
2019-06-19,"KR",1122
2019-06-20,"KR",1122
2019-06-21,"KR",1122
2019-06-22,"KR",1149
2019-06-23,"KR",1202
2019-06-24,"KR",1228
2019-06-25,"KR",1194
2019-06-26,"KR",1160
2019-06-27,"KR",1160
2019-06-28,"KR",1126
2019-06-29,"KR",1115
2019-06-30,"KR",1138
2019-07-01,"KR",1138
2019-07-02,"KR",1165
2019-07-03,"KR",1158
2019-07-04,"KR",1157
2019-07-05,"KR",1175
2019-07-06,"KR",1137
2019-07-07,"KR",1114
2019-07-08,"KR",1114
2019-07-09,"KR",1114
2019-07-10,"KR",1090
2019-07-11,"KR",1099
2019-07-12,"KR",1132
2019-07-13,"KR",1156
2019-07-14,"KR",1180
2019-07-15,"KR",1158
2019-07-16,"KR",1110
2019-07-17,"KR",1084
2019-07-18,"KR",1117
2019-07-19,"KR",1150
2019-07-20,"KR",1116
2019-07-21,"KR",1082
2019-07-22,"KR",1059
2019-07-23,"KR",1019
2019-07-24,"KR",1002
2019-07-25,"KR",1033
2019-07-26,"KR",1047
2019-07-27,"KR",1030
2019-07-28,"KR",1030
2019-07-29,"KR",1002
2019-07-30,"KR",1005
2019-07-31,"KR",1036
2019-08-01,"KR",1052
2019-08-02,"KR",1068
2019-08-03,"KR",1068
2019-08-04,"KR",1095
2019-08-05,"KR",1090
2019-08-06,"KR",1089
2019-08-07,"KR",1147
2019-08-08,"KR",1174
2019-08-09,"KR",1150
2019-08-10,"KR",1093
2019-08-11,"KR",1043
2019-08-12,"KR",1008
2019-08-13,"KR",964
2019-08-14,"KR",919
2019-08-15,"KR",900
2019-08-16,"KR",923
2019-08-17,"KR",968
2019-08-18,"KR",967
2019-08-19,"KR",978
2019-08-20,"KR",1028
2019-08-21,"KR",1061
2019-08-22,"KR",1046
2019-08-23,"KR",981
2019-08-24,"KR",948
2019-08-25,"KR",948
2019-08-26,"KR",948
2019-08-27,"KR",978
2019-08-28,"KR",1036
2019-08-29,"KR",1064
2019-08-30,"KR",1064
2019-08-31,"KR",1098
2019-09-01,"KR",1098
2019-09-02,"KR",1092
2019-09-03,"KR",1120
2019-09-04,"KR",1135
2019-09-05,"KR",1178
2019-09-06,"KR",1176
2017-01-01,"JP",4500
2017-01-02,"JP",4615
2017-01-03,"JP",4515
2017-01-04,"JP",4515
2017-01-05,"JP",4627
2017-01-06,"JP",4627
2017-01-07,"JP",4764
2017-01-08,"JP",4648
2017-01-09,"JP",4597
2017-01-10,"JP",4721
2017-01-11,"JP",4721
2017-01-12,"JP",4721
2017-01-13,"JP",4614
2017-01-14,"JP",4614
2017-01-15,"JP",4728
2017-01-16,"JP",4778
2017-01-17,"JP",4778
2017-01-18,"JP",4850
2017-01-19,"JP",4850
2017-01-20,"JP",4951
2017-01-21,"JP",4837
2017-01-22,"JP",4910
2017-01-23,"JP",4799
2017-01-24,"JP",4923
2017-01-25,"JP",4923
2017-01-26,"JP",4923
2017-01-27,"JP",5006
2017-01-28,"JP",5119
2017-01-29,"JP",5019
2017-01-30,"JP",4894
2017-01-31,"JP",5000
2017-02-01,"JP",5135
2017-02-02,"JP",5195
2017-02-03,"JP",5225
2017-02-04,"JP",5257
2017-02-05,"JP",5257
2017-02-06,"JP",5257
2017-02-07,"JP",5366
2017-02-08,"JP",5333
2017-02-09,"JP",5333
2017-02-10,"JP",5209
2017-02-11,"JP",5209
2017-02-12,"JP",5105
2017-02-13,"JP",5052
2017-02-14,"JP",5101
2017-02-15,"JP",5173
2017-02-16,"JP",5257
2017-02-17,"JP",5378
2017-02-18,"JP",5378
2017-02-19,"JP",5378
2017-02-20,"JP",5422
2017-02-21,"JP",5422
2017-02-22,"JP",5422
2017-02-23,"JP",5473
2017-02-24,"JP",5473
2017-02-25,"JP",5473
2017-02-26,"JP",5473
2017-02-27,"JP",5347
2017-02-28,"JP",5458
2017-03-01,"JP",5563
2017-03-02,"JP",5445
2017-03-03,"JP",5304
2017-03-04,"JP",5304
2017-03-05,"JP",5410
2017-03-06,"JP",5410
2017-03-07,"JP",5410
2017-03-08,"JP",5553
2017-03-09,"JP",5505
2017-03-10,"JP",5446
2017-03-11,"JP",5446
